Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,Region1Beijing_to_Songliao_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Songliao,co2_storage_Songliao
CO2Injection,Region1Beijing_to_TurpanHami_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_TurpanHami,co2_storage_TurpanHami
CO2Injection,Region1Beijing_to_Subei_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Subei,co2_storage_Subei
CO2Injection,Region1Beijing_to_BohaiOnshore_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_BohaiOnshore,co2_storage_BohaiOnshore
CO2Injection,Region1Beijing_to_Qaidam_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Qaidam,co2_storage_Qaidam
CO2Injection,Region1Beijing_to_Nanxiang_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Nanxiang,co2_storage_Nanxiang
CO2Injection,Region1Beijing_to_Sanjiang_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Sanjiang,co2_storage_Sanjiang
CO2Injection,Region1Beijing_to_Hailar_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Hailar,co2_storage_Hailar
CO2Injection,Region1Beijing_to_Jianghan_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Jianghan,co2_storage_Jianghan
CO2Injection,Region1Beijing_to_Tarim_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Tarim,co2_storage_Tarim
