Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region1Beijing_to_Songliao_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Songliao,895.5,0,78.888753,0,3.949944,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_TurpanHami_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_TurpanHami,2067.6,0,82.950526,0,4.153317,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Subei_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Subei,814.1,0,78.438959,0,3.927423,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_BohaiOnshore_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_BohaiOnshore,201.9,0,72.143853,0,3.612229,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Qaidam_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Qaidam,1953.0,0,82.667212,0,4.139131,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Nanxiang_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Nanxiang,885.3,0,78.834548,0,3.94723,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Sanjiang_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Sanjiang,1481.4,0,81.307666,0,4.071059,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Hailar_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Hailar,1014.5,0,79.481541,0,3.979625,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Jianghan_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Jianghan,1095.1,0,79.846959,0,3.997922,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Tarim_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Tarim,2904.2,0,84.658924,0,4.238856,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Ordos_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Ordos,716.1,0,77.837625,0,3.897315,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_YingenEjina_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_YingenEjina,1267.5,0,80.550462,0,4.033146,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Hehuai_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Hehuai,668.3,0,77.515659,0,3.881194,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Qinshui_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Qinshui,494.7,0,76.129271,0,3.811778,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Erlian_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Erlian,484.5,0,76.034165,0,3.807016,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Junggar_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Junggar,2455.8,0,83.81133,0,4.196417,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_SichuanBasin_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_SichuanBasin,1421.7,0,81.107242,0,4.061024,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_BohaiOffshore_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_BohaiOffshore,303.0,0,73.922682,0,3.701294,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_NorthYellowSea_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_NorthYellowSea,619.2,0,77.161562,0,3.863464,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_SouthYellowSea_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_SouthYellowSea,752.3,0,78.068281,0,3.908864,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_EastChinaSea_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_EastChinaSea,1411.9,0,81.073588,0,4.059339,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_PearlRiverMouth_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_PearlRiverMouth,2151.9,0,83.14966,0,4.163287,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_BeibugGulf_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_BeibugGulf,2280.6,0,83.439963,0,4.177823,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Qiongdongnan_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Qiongdongnan,2509.7,0,83.920577,0,4.201887,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Songliao_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Songliao,890.6,0,78.862786,0,3.948644,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_TurpanHami_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_TurpanHami,2164.4,0,83.178562,0,4.164734,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Subei_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Subei,723.6,0,77.886299,0,3.899752,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_BohaiOnshore_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_BohaiOnshore,135.5,0,70.438081,0,3.526821,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Qaidam_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Qaidam,2035.0,0,82.871466,0,4.149358,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Nanxiang_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Nanxiang,870.1,0,78.752673,0,3.943131,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Sanjiang_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Sanjiang,1457.0,0,81.226685,0,4.067004,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Hailar_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Hailar,1066.9,0,79.722072,0,3.991669,0.08,25,15,0.0
