Type,id,storage--commodity,storage--can_expand,storage--can_retire,storage--constraints--MinStorageOutflowConstraint,storage--min_outflow_fraction,storage--charge_discharge_ratio,edges--inflow_edge--type,edges--inflow_edge--unidirectional,edges--inflow_edge--start_vertex,edges--inflow_edge--has_capacity,edges--inflow_edge--constraints--MustRunConstraint,edges--inflow_edge--efficiency,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--TDR_path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--end_vertex,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--efficiency,edges--spill_edge--type,edges--spill_edge--unidirectional,edges--spill_edge--end_vertex,edges--spill_edge--can_expand,edges--spill_edge--can_retire,edges--spill_edge--has_capacity
HydroRes,Region1Beijing_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region1Beijing_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region1Beijing,200,892,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region2Tianjin_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region2Tianjin_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region2Tianjin,200,0,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region3Hebei_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region3Hebei_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region3Hebei,200,5570,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region4Shanxi_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region4Shanxi_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region4Shanxi,200,1200,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region5Innermongolia_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region5Innermongolia_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region5Innermongolia,200,1960,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region6Liaoning_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region6Liaoning_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region6Liaoning,200,3995,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region7Jilin_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region7Jilin_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region7Jilin,200,5845,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region8Heilongjiang_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region8Heilongjiang_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region8Heilongjiang,200,1296,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region9Shanghai_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region9Shanghai_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region9Shanghai,200,6343,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region10Jiangsu_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region10Jiangsu_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region10Jiangsu,200,3275,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
