Type,id,storage--commodity,storage--wacc,storage--lifetime,storage--capital_recovery_period,storage--min_storage_level,storage--can_retire,storage--max_capacity,storage--can_expand,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--max_duration,storage--min_duration,storage--min_capacity,storage--fixed_om_cost,storage--long_duration,storage--max_storage_level,storage--charge_discharge_ratio,storage--investment_cost,storage--loss_fraction,storage--capacity_size,storage--existing_capacity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--discharge_edge--wacc,edges--discharge_edge--lifetime,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--can_retire,edges--discharge_edge--max_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--min_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--has_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,edges--charge_edge--can_retire,edges--charge_edge--max_capacity,edges--charge_edge--can_expand,edges--charge_edge--start_vertex,edges--charge_edge--min_capacity,edges--charge_edge--fixed_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--has_capacity,edges--charge_edge--efficiency,edges--charge_edge--capacity_size,edges--charge_edge--existing_capacity
Battery,Region1Beijing_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,178.96,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region1Beijing,500000,0,TRUE,0.95,1,89.48,TRUE,Electricity,FALSE,0,FALSE,elec_Region1Beijing,0,0,0,0,FALSE,0.88,1,89.48
Battery,Region2Tianjin_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,43.72,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region2Tianjin,500000,0,TRUE,0.95,1,21.86,TRUE,Electricity,FALSE,0,FALSE,elec_Region2Tianjin,0,0,0,0,FALSE,0.88,1,21.86
Battery,Region3Hebei_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,9532,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region3Hebei,500000,0,TRUE,0.95,1,4766,TRUE,Electricity,FALSE,0,FALSE,elec_Region3Hebei,0,0,0,0,FALSE,0.88,1,4766
Battery,Region4Shanxi_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,3860,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region4Shanxi,500000,0,TRUE,0.95,1,1930,TRUE,Electricity,FALSE,0,FALSE,elec_Region4Shanxi,0,0,0,0,FALSE,0.88,1,1930
Battery,Region5Innermongolia_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,19070,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region5Innermongolia,500000,0,TRUE,0.95,1,9535,TRUE,Electricity,FALSE,0,FALSE,elec_Region5Innermongolia,0,0,0,0,FALSE,0.88,1,9535
Battery,Region6Liaoning_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,200,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region6Liaoning,500000,0,TRUE,0.95,1,100,TRUE,Electricity,FALSE,0,FALSE,elec_Region6Liaoning,0,0,0,0,FALSE,0.88,1,0
Battery,Region7Jilin_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,400,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region7Jilin,500000,0,TRUE,0.95,1,200,TRUE,Electricity,FALSE,0,FALSE,elec_Region7Jilin,0,0,0,0,FALSE,0.88,1,0
Battery,Region8Heilongjiang_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,200,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region8Heilongjiang,500000,0,TRUE,0.95,1,100,TRUE,Electricity,FALSE,0,FALSE,elec_Region8Heilongjiang,0,0,0,0,FALSE,0.88,1,0
Battery,Region9Shanghai_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,6000,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region9Shanghai,500000,0,TRUE,0.95,1,3000,TRUE,Electricity,FALSE,0,FALSE,elec_Region9Shanghai,0,0,0,0,FALSE,0.88,1,3000
Battery,Region10Jiangsu_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,12392,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region10Jiangsu,500000,0,TRUE,0.95,1,6196,TRUE,Electricity,FALSE,0,FALSE,elec_Region10Jiangsu,0,0,0,0,FALSE,0.88,1,6196
Battery,Region11Zhejiang_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,4720,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region11Zhejiang,500000,0,TRUE,0.95,1,2360,TRUE,Electricity,FALSE,0,FALSE,elec_Region11Zhejiang,0,0,0,0,FALSE,0.88,1,2360
Battery,Region12Anhui_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,5578,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region12Anhui,500000,0,TRUE,0.95,1,2789,TRUE,Electricity,FALSE,0,FALSE,elec_Region12Anhui,0,0,0,0,FALSE,0.88,1,2789
Battery,Region13Fujian_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,1200,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region13Fujian,500000,0,TRUE,0.95,1,600,TRUE,Electricity,FALSE,0,FALSE,elec_Region13Fujian,0,0,0,0,FALSE,0.88,1,600
Battery,Region14Jiangxi_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,0,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region14Jiangxi,500000,0,TRUE,0.95,1,0,TRUE,Electricity,FALSE,0,FALSE,elec_Region14Jiangxi,0,0,0,0,FALSE,0.88,1,0
