Type,id,transforms--constraints--BalanceConstraint,transforms--timedata,transforms--fuel_consumption,transforms--emission_rate,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--wacc,edges--elec_edge--lifetime,edges--elec_edge--capital_recovery_period,edges--elec_edge--can_retire,edges--elec_edge--min_up_time,edges--elec_edge--max_capacity,edges--elec_edge--can_expand,edges--elec_edge--min_flow_fraction,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinCapacityConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--min_capacity,edges--elec_edge--commodity,edges--elec_edge--fixed_om_cost,edges--elec_edge--uc,edges--elec_edge--ramp_up_fraction,edges--elec_edge--startup_cost,edges--elec_edge--end_vertex,edges--elec_edge--investment_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--startup_fuel_consumption,edges--elec_edge--min_down_time,edges--elec_edge--capacity_size,edges--elec_edge--existing_capacity,edges--elec_edge--ramp_down_fraction,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_edge--commodity
ThermalPower,Region1Beijing_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region1Beijing,513888.8888888889,4.305555555555555,0,8,200,0,0.6,TRUE,FALSE,coal_Region1Beijing,Coal
ThermalPower,Region2Tianjin_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5325.6,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region2Tianjin,513888.8888888889,4.305555555555555,0,8,200,13314,0.6,TRUE,FALSE,coal_Region2Tianjin,Coal
ThermalPower,Region3Hebei_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,22001.6,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region3Hebei,513888.8888888889,4.305555555555555,0,8,200,55004,0.6,TRUE,FALSE,coal_Region3Hebei,Coal
ThermalPower,Region4Shanxi_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,29342.8,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region4Shanxi,513888.8888888889,4.305555555555555,0,8,200,73357,0.6,TRUE,FALSE,coal_Region4Shanxi,Coal
ThermalPower,Region5Innermongolia_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,48736,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region5Innermongolia,513888.8888888889,4.305555555555555,0,8,200,121840,0.6,TRUE,FALSE,coal_Region5Innermongolia,Coal
ThermalPower,Region6Liaoning_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9432,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region6Liaoning,513888.8888888889,4.305555555555555,0,8,200,23580,0.6,TRUE,FALSE,coal_Region6Liaoning,Coal
ThermalPower,Region7Jilin_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,18044,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region7Jilin,513888.8888888889,4.305555555555555,0,8,200,45110,0.6,TRUE,FALSE,coal_Region7Jilin,Coal
ThermalPower,Region8Heilongjiang_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,10660,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region8Heilongjiang,513888.8888888889,4.305555555555555,0,8,200,26650,0.6,TRUE,FALSE,coal_Region8Heilongjiang,Coal
ThermalPower,Region9Shanghai_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6320,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region9Shanghai,513888.8888888889,4.305555555555555,0,8,200,15800,0.6,TRUE,FALSE,coal_Region9Shanghai,Coal
ThermalPower,Region10Jiangsu_coal,TRUE,Coal,2.64097,0.32753,TRUE,FALSE,co2_sink,CO2,TRUE,TRUE,0.08,40,40,TRUE,8,-1,TRUE,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,32236,Electricity,10278,TRUE,0.6,152.77777777777777,elec_Region10Jiangsu,513888.8888888889,4.305555555555555,0,8,200,80590,0.6,TRUE,FALSE,coal_Region10Jiangsu,Coal
