Type,id,edges--transmission_edge--unidirectional,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--can_retire,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--loss_fraction,edges--transmission_edge--end_vertex,edges--transmission_edge--max_capacity,edges--transmission_edge--max_new_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost
TransmissionLink,Line1ExistingAC_Region4Shanxi_to_Region16Henan,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.015,elec_Region16Henan,5000,0,FALSE,5000,9818.906776
TransmissionLink,Line2ExistingAC_Region16Henan_to_Region17Hubei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region16Henan,0.015,elec_Region17Hubei,5000,0,FALSE,5000,8758.914335
TransmissionLink,Line3ExistingAC_Region12Anhui_to_Region11Zhejiang,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region12Anhui,0.02,elec_Region11Zhejiang,10000,0,FALSE,10000,11824.84184
TransmissionLink,Line4ExistingAC_Region11Zhejiang_to_Region9Shanghai,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.02,elec_Region9Shanghai,10000,0,FALSE,10000,6806.649775
TransmissionLink,Line5ExistingAC_Region12Anhui_to_Region10Jiangsu,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region12Anhui,0.02,elec_Region10Jiangsu,11000,0,FALSE,11000,10156.78699
TransmissionLink,Line6ExistingAC_Region10Jiangsu_to_Region9Shanghai,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region10Jiangsu,0.02,elec_Region9Shanghai,11000,0,FALSE,11000,9267.564333
TransmissionLink,Line7ExistingAC_Region11Zhejiang_to_Region13Fujian,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region11Zhejiang,0.02,elec_Region13Fujian,10500,0,FALSE,10500,12667.27706
TransmissionLink,Line8ExistingAC_Region5Innermongolia_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02,elec_Region3Hebei,10000,0,FALSE,10000,11952.30928
TransmissionLink,Line9ExistingAC_Region3Hebei_to_Region2Tianjin,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region2Tianjin,10000,0,FALSE,10000,7215.887363
TransmissionLink,Line10ExistingAC_Region2Tianjin_to_Region15Shandong,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region2Tianjin,0.02,elec_Region15Shandong,10000,0,FALSE,10000,8691.826206
TransmissionLink,Line11ExistingAC_Region5Innermongolia_to_Region4Shanxi,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02,elec_Region4Shanxi,10000,0,FALSE,10000,7430.569377
TransmissionLink,Line12ExistingAC_Region4Shanxi_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.02,elec_Region3Hebei,10000,0,FALSE,10000,8329.550308
TransmissionLink,Line13ExistingAC_Region3Hebei_to_Region2Tianjin,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region2Tianjin,10000,0,FALSE,10000,7269.557867
TransmissionLink,Line14ExistingAC_Region27Shaanxi_to_Region4Shanxi,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.02,elec_Region4Shanxi,10000,0,FALSE,10000,8651.573328
TransmissionLink,Line15ExistingAC_Region4Shanxi_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.02,elec_Region3Hebei,10000,0,FALSE,10000,8423.473689
TransmissionLink,Line16ExistingAC_Region3Hebei_to_Region15Shandong,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region15Shandong,10000,0,FALSE,10000,11887.90468
TransmissionLink,Line17ExistingAC_Region3Hebei_to_Region1Beijing,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region1Beijing,10000,0,FALSE,10000,8020.944914
TransmissionLink,Line18ExistingAC_Region3Hebei_to_Region1Beijing,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region1Beijing,10000,0,FALSE,10000,9188.278362
TransmissionLink,Line19ExistingAC_Region15Shandong_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region15Shandong,0.02,elec_Region3Hebei,10000,0,FALSE,10000,16012.48286
TransmissionLink,Line20ExistingAC_Region5Innermongolia_to_Region4Shanxi,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02,elec_Region4Shanxi,10000,0,FALSE,10000,9094.354981
TransmissionLink,Line21ExistingAC_Region24Guizhou_to_Region20Guangxi,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region24Guizhou,0.02,elec_Region20Guangxi,4800,0,FALSE,4800,18466.7064
TransmissionLink,Line22ExistingAC_Region20Guangxi_to_Region19Guangdong,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region20Guangxi,0.02,elec_Region19Guangdong,4800,0,FALSE,4800,18466.7064
TransmissionLink,Line23ExistingAC_Region24Guizhou_to_Region20Guangxi,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region24Guizhou,0.02,elec_Region20Guangxi,2400,0,FALSE,2400,22116.17639
TransmissionLink,Line24ExistingAC_Region25Yunnan_to_Region20Guangxi,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region25Yunnan,0.02,elec_Region20Guangxi,2400,0,FALSE,2400,8248.190422
TransmissionLink,Line25ExistingAC_Region19Guangdong_to_Region21Hainan,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region19Guangdong,0.02,elec_Region21Hainan,1200,0,FALSE,1200,10554.65546
TransmissionLink,Line26ExistingAC_Region5Innermongolia_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region5Innermongolia,0.02,elec_Region3Hebei,4000,0,FALSE,4000,12029.04133
TransmissionLink,Line27ExistingAC_Region3Hebei_to_Region16Henan,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region3Hebei,0.02,elec_Region16Henan,1000,0,FALSE,1000,3554.972013
TransmissionLink,Line28ExistingAC_Region4Shanxi_to_Region10Jiangsu,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region4Shanxi,0.03,elec_Region10Jiangsu,2000,0,FALSE,2000,13167.67597
TransmissionLink,Line29ExistingAC_Region27Shaanxi_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.025,elec_Region3Hebei,2000,0,FALSE,2000,11656.79539
TransmissionLink,Line30ExistingAC_Region27Shaanxi_to_Region3Hebei,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.025,elec_Region3Hebei,2000,0,FALSE,2000,11656.79539
TransmissionLink,Line31ExistingAC_Region24Guizhou_to_Region18Hunan,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region24Guizhou,0.02,elec_Region18Hunan,1500,0,FALSE,1500,7660.392808
TransmissionLink,Line32ExistingAC_Region24Guizhou_to_Region18Hunan,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region24Guizhou,0.02,elec_Region18Hunan,1000,0,FALSE,1000,7660.392808
TransmissionLink,Line33ExistingAC_Region23Sichuan_to_Region26Tibet,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region23Sichuan,0.02,elec_Region26Tibet,600,0,FALSE,600,38867.24365
TransmissionLink,Line34ExistingAC_Region27Shaanxi_to_Region28Gansu,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.0083,elec_Region28Gansu,5000,0,FALSE,5000,10317.12931
TransmissionLink,Line35ExistingAC_Region27Shaanxi_to_Region28Gansu,FALSE,TRUE,Electricity,0.062,100,100,FALSE,TRUE,TRUE,TRUE,elec_Region27Shaanxi,0.0083,elec_Region28Gansu,5000,0,FALSE,5000,7985.816824
