province,existing_capacity_mt_yr
Beijing,34.496880000000004
Tianjin,23.00376
Hebei,215.69748
Shanxi,157.1982
Innermongolia,164.47776000000002
Liaoning,207.79596
Jilin,49.19616
Heilongjiang,44.5884
Shanghai,4.39752
Jiangsu,147.85128
Zhejiang,244.35144000000003
Anhui,204.59856000000002
Fujian,120.10836
Jiangxi,187.70052
Shandong,305.23344000000003
Henan,242.55564
Hubei,181.5072
Hunan,169.42716000000001
Guangdong,131.60148
Guangxi,155.4462
Hainan,23.187720000000002
Chongqing,80.8986
Sichuan,239.586
Guizhou,127.16016
Yunnan,125.79360000000001
Tibet,5.09832
Shaanxi,123.40212000000001
Gansu,101.86128000000001
Qinghai,38.40384
Ningxia,36.397800000000004
Xinjiang,139.065
