province,existing_capacity_mt_yr
Beijing,55.8012
Tianjin,13.64808
Hebei,209.95092
Shanxi,58.692
Innermongolia,27.462600000000002
Liaoning,67.17168000000001
Jilin,13.19256
Heilongjiang,9.154200000000001
Shanghai,16.19724
Jiangsu,102.72852
Zhejiang,8.99652
Anhui,32.4558
Fujian,25.25508
Jiangxi,20.148
Shandong,55.8012
Henan,28.925520000000002
Hubei,28.47876
Hunan,18.20328
Guangdong,28.951800000000002
Guangxi,37.887
Chongqing,11.39676
Sichuan,18.15072
Guizhou,3.504
Yunnan,12.947280000000001
Shaanxi,12.097560000000001
Gansu,10.00392
Qinghai,0.9022800000000001
Ningxia,5.2998
Xinjiang,14.602920000000001
