province,existing_capacity_mt_yr
Beijing,5.00196
Tianjin,5.00196
Hebei,14.27004
Shanxi,4.14348
Innermongolia,0.0
Liaoning,3.9858000000000002
Jilin,1.9972800000000002
Heilongjiang,1.21764
Shanghai,3.6003600000000002
Jiangsu,19.2282
Zhejiang,5.2034400000000005
Anhui,6.42984
Fujian,13.07868
Jiangxi,2.9959200000000004
Shandong,1.9009200000000002
Henan,6.03564
Hubei,11.58948
Hunan,1.29648
Guangdong,13.5342
Guangxi,18.159480000000002
Chongqing,1.7082000000000002
Sichuan,8.05044
Guizhou,8.30448
Yunnan,2.2776
Shaanxi,3.74928
Gansu,1.60308
Qinghai,0.0
Ningxia,0.0
Xinjiang,1.96224
