province,annual_demand_mt_yr
Beijing,2.59432875
Tianjin,5.015069583333333
Hebei,110.45167666666667
Shanxi,52.38221458333333
Innermongolia,33.44181708333333
Liaoning,50.327872916666664
Jilin,20.969189166666666
Heilongjiang,22.537624583333333
Shanghai,3.6075991666666667
Jiangsu,140.05366333333333
Zhejiang,122.11081083333333
Anhui,132.478575
Fujian,89.66544375
Jiangxi,93.55597875
Shandong,149.06989333333334
Henan,110.17698375
Hubei,91.79138625
Hunan,103.15362333333333
Guangdong,158.12012916666666
Guangxi,113.88809083333334
Hainan,17.152049583333334
Chongqing,59.99866958333333
Sichuan,136.0907975
Guizhou,102.5458375
Yunnan,123.54927583333333
Tibet,0.0
Shaanxi,63.52463041666667
Gansu,44.44595875
Qinghai,11.516358333333333
Ningxia,18.45394375
Xinjiang,38.05055041666667
