province,annual_demand_mt_yr
Beijing,57.216335416666666
Tianjin,25.073005833333333
Hebei,60.31183958333333
Shanxi,34.16558166666667
Innermongolia,32.98787875
Liaoning,25.420637916666667
Jilin,14.83770625
Heilongjiang,17.338077916666666
Shanghai,42.24409625
Jiangsu,109.1359125
Zhejiang,63.90988791666667
Anhui,46.399590833333335
Fujian,45.966913749999996
Jiangxi,32.289329583333334
Shandong,78.0141875
Henan,45.43370958333333
Hubei,37.08585541666667
Hunan,35.37808125
Guangdong,78.22433625
Guangxi,18.477334166666665
Hainan,35.37811166666667
Chongqing,20.237668333333332
Sichuan,41.147879583333335
Guizhou,15.551676666666667
Yunnan,22.734876666666665
Shaanxi,20.86531625
Gansu,7.92488
Qinghai,2.5041129166666667
Ningxia,3.1935675
Xinjiang,11.341310416666667
