,Region1Beijing,Region2Tianjin,Region3Hebei,Region4Shanxi,Region5Innermongolia,Region6Liaoning,Region7Jilin,Region8Heilongjiang,Region9Shanghai,Region10Jiangsu,Region11Zhejiang,Region12Anhui,Region13Fujian,Region14Jiangxi,Region15Shandong,Region16Henan,Region17Hubei,Region18Hunan,Region19Guangdong,Region20Guangxi,Region21Hainan,Region22Chongqing,Region23Sichuan,Region24Guizhou,Region25Yunnan,Region27Shaanxi,Region28Gansu,Region29Qinghai,Region30Ningxia,Region31Xinjiang
Region1Beijing,,133.05429999999998,309.5303,485.4867,485.69059999999996,703.041,993.5952,1224.658,1325.2238,1047.2459000000001,1286.8362,987.0698000000001,1797.9071999999999,1439.3496,447.1613,695.8328,1146.4343999999999,1552.7998,2091.2558,2358.7072000000003,2667.7862,1811.3201999999999,1735.7612,2095.4636,2553.5404,1056.2072,1526.281,1724.1898,1184.8841,2779.144
Region2Tianjin,133.0546,,330.32620000000003,506.1335,612.4078000000001,670.1243000000001,960.6786,1191.7425,1213.6024,934.6305,1175.2149,875.5098,1686.3472,1327.7896,335.18109999999996,711.6335,1162.182,1568.5472,2107.0036,2374.455,2683.5337999999997,1827.1208000000001,1756.408,2116.1104,2574.1872000000003,1076.854,1546.9279,1744.8364,1222.833,2901.0398
Region3Hebei,309.5303,330.32590000000005,,210.7426,743.3016,992.3928000000001,1282.947,1514.0109,1208.1114,929.1395,1169.7239,870.485,1681.3224,1214.7102,316.198,440.7811,895.1669,1301.5323999999998,1839.9884,2107.44,2416.5188,1541.2128,1460.87,1820.5722,2278.649,781.316,1251.6159,1449.5245,927.521,2792.333
Region4Shanxi,485.4867,506.1332,210.7426,,532.8978000000001,1168.2,1458.7543999999998,1689.8182,1411.9161000000001,1132.9442,1373.5286,990.6831999999999,1781.9284,1250.3742,519.6907,449.0895,930.8309,1337.1963999999998,1875.6524,2143.104,2452.1827999999996,1343.0271,1262.6843999999999,1622.3868,2080.4636,583.1305,1057.2233999999999,1255.132,733.1285,2597.9404
Region5Innermongolia,485.6907,612.4076,743.3017,532.8978000000001,,1171.4188000000001,1422.9298999999999,1677.1576,1809.73,1531.7521000000002,1771.3424,1471.576,2282.4136000000003,1783.1658,931.6676,981.8811999999999,1463.6225,1869.988,2408.444,2675.8956000000003,2984.9744,1751.7288,1673.7095,2031.0883999999999,2489.165,991.8321,1140.6869,1338.5955,699.542,2293.8017999999997
Region6Liaoning,703.041,670.1241,992.3927,1168.2,1171.4188000000001,,299.66720000000004,524.1484,1883.7264,1604.7546,1845.3388,1545.6338,2356.4712000000004,1997.9136,1005.3051999999999,1373.7001,1824.2486000000001,2230.614,2769.07,3036.5216,3345.6002000000003,2489.1876,2418.4744,2778.177,3236.2538,1738.9206000000001,2208.9944,2406.903,1870.6122,3464.872
Region7Jilin,993.5952,960.6783,1282.9469,1458.7541999999999,1422.9298999999999,299.66720000000004,,256.2719,2174.2804,1895.3088,2135.893,1836.188,2647.0256,2288.468,1295.8595,1664.2541999999999,2114.8028,2521.168,3059.6242,3327.0757999999996,3636.1544,2779.7418,2709.0287999999996,3068.731,3526.808,2029.4748,2499.5484,2697.4572000000003,2117.3017999999997,3711.5616
Region8Heilongjiang,1224.658,1191.7422,1514.0108,1689.8182,1677.1576,524.1484,256.2719,,2405.3444,2126.3727999999996,2366.957,2067.2518,2878.0896000000002,2519.5317999999997,1526.9232,1895.3182,2345.8668,2752.232,3290.6882,3558.1396,3867.2183999999997,3010.8056,2940.0924,3299.795,3757.8716,2260.5388,2730.6124,2928.521,2371.5296000000003,3965.7892
Region9Shanghai,1325.2238,1213.602,1208.1112,1411.916,1809.7298,1883.7264,2174.2808,2405.3444,,299.3469,192.3776,446.1497,821.1344,776.4485999999999,931.8264,983.9295999999999,795.021,1200.693,1554.5399,1959.0472,2137.1144,1692.1178,1950.233,1839.3344,2283.0384,1420.4849,1998.5664,2179.2848,2026.5018,3794.3903999999998
Region10Jiangsu,1047.2459000000001,934.6303,929.1396,1132.9442,1531.752,1604.7546,1895.3088,2126.3727999999996,299.3469,,291.1855,157.01760000000002,851.8226,565.8963,652.8546,696.4349,505.8774,911.5491999999999,1391.1841000000002,1721.8968,1973.7588,1402.974,1661.0893999999998,1625.1558,2068.8596000000002,1131.3411999999998,1709.423,1890.1412,1737.3582,3505.2468
Region11Zhejiang,1286.8362,1175.2146,1169.7239,1373.5286,1771.3424,1845.3388,2135.8932,2366.957,192.3776,291.1855,,397.00559999999996,650.3186,597.1679,893.4389,944.0359,745.8656,1151.5374,1375.9819,1780.4892,1958.5566000000001,1642.9622,1901.0776,1659.9539,2103.6576,1371.3295,1949.4112,2130.1296,1977.3464,3745.2352
Region12Anhui,987.0698000000001,875.5095,870.485,990.6831999999999,1471.5758999999998,1545.6338,1836.188,2067.2518,446.1497,157.01760000000002,397.00559999999996,,810.8395,459.4492,593.7173,547.0323000000001,361.715,764.229,1284.7371,1589.6845,1867.3118,1255.6538,1513.769,1492.9432,1936.647,984.4725,1562.5541,1743.2723999999998,1590.4895,3358.378
Region13Fujian,1797.9071999999999,1686.347,1681.3224,1781.9284,2282.4136000000003,2356.4716000000003,2647.0258,2878.0896000000002,821.1343,851.8226,650.3186,810.8395,,537.0943000000001,1404.5548999999999,1338.2775,877.0623,1159.6258,870.7546,1426.1222,1417.4888,1777.4042,2035.5196,1595.655,2039.3588,1677.461,2212.084,2392.8022,2235.9662000000003,4007.7808
Region14Jiangxi,1439.3496,1327.7894,1214.7102,1250.3742,1783.1656,1997.9136,2288.468,2519.5317999999997,776.4486999999999,565.8963,597.1679,459.4492,537.0943000000001,,1045.9971,806.7233,345.50809999999996,703.9846,830.828,1235.267,1413.4026000000001,1245.85,1503.9651999999999,1111.699,1555.4028,1145.9068,1680.5296,1861.248,1704.4122,3476.2268
Region15Shandong,447.1613,335.1809,316.198,519.6907,931.6675,1005.3051999999999,1295.8595,1526.9232,931.8264,652.8546,893.4389,593.7173,1404.5548999999999,1045.9971,,449.68940000000003,894.7563,1297.2702,1854.7161999999998,2122.1676,2431.2464,1572.2978,1585.7612,1877.2194,2335.2976,943.2731,1477.7198999999998,1658.4382,1236.3959,3101.2077999999997
Region16Henan,695.8328,711.6333000000001,440.7811,449.0895,981.8811,1373.7002,1664.2545,1895.3182,983.9298,696.4349,944.036,547.0323000000001,1338.2775,806.7233,449.68940000000003,,487.18,893.5454,1432.0015,1699.453,2008.5318,1151.4715,1136.0718,1456.3931,1914.4712,493.5837,1028.0304,1208.7488999999998,1052.093,2823.8682000000003
Region17Hubei,1146.4343999999999,1162.1818,895.1669,930.8309,1463.6225,1824.2486000000001,2114.803,2345.8668,795.021,505.8774,745.8656,361.715,877.0624,345.50809999999996,894.7561999999999,487.18,,408.91679999999997,970.7706,1238.2219,1547.3008,900.3418,1158.4571,1141.4808,1585.1845,800.3986,1335.0215,1515.74,1358.904,3130.7187999999996
Region18Hunan,1552.7998,1568.5472,1301.5323999999998,1337.1963999999998,1869.9878,2230.614,2521.1684,2752.2322000000004,1200.693,911.5491999999999,1151.5374,764.229,1159.6258,703.9846,1297.2702,893.5454,408.91679999999997,,676.3008000000001,943.7520999999999,1252.831,734.2438000000001,1109.727,800.8843,1244.5881000000002,1051.3559,1629.4375,1810.1558,1657.373,3425.2612000000004
Region19Guangdong,2091.2558,2107.0032,1839.9884,1875.6524,2408.444,2769.07,3059.6243999999997,3290.6882,1554.5399,1391.1841000000002,1375.9819,1284.7371,870.7546,830.828,1854.716,1432.0015,970.7706,676.3008000000001,,569.7966,595.2156,1251.4745,1504.8166,854.6854000000001,1293.49,1637.3945,2215.476,2396.1942000000004,2243.4116,4011.3
Region20Guangxi,2358.7072000000003,2374.4544,2107.4397999999997,2143.1038,2675.8956000000003,3036.5216,3327.076,3558.1396,1959.0472,1721.8968,1780.4892,1589.6845,1426.1222,1235.267,2122.1676,1699.4528,1238.2219,943.7520999999999,569.7966,,531.2424,1103.8458,1357.268,706.4683,723.6933,1773.6876000000002,2215.0184,2412.9272,2373.5438,4028.0872000000004
Region21Hainan,2667.786,2683.5336,2416.5188,2452.1827999999996,2984.9744,3345.6002000000003,3636.1544,3867.2183999999997,2137.1144,1973.7588,1958.5564,1867.3118,1417.4888,1413.4025,2431.2464,2008.5318,1547.3008,1252.8309,595.2156,531.2425,,1445.711,1699.1332,1048.3335,1254.9358,2115.5528,2556.884,2754.7924,2715.4092,4369.952
Region22Chongqing,1811.3201999999999,1827.1208000000001,1541.2129,1343.0274,1751.729,2489.1877999999997,2779.742,3010.8057999999996,1692.118,1402.9741000000001,1642.9622,1255.6538999999998,1777.4042,1245.85,1572.2978,1151.4715,900.3419,734.2438000000001,1251.4745,1103.8458,1445.711,,385.985,400.0242,854.6691,787.8597,1229.1908999999998,1427.0995,1387.716,3042.259
Region23Sichuan,1735.7612,1756.4078,1460.87,1262.6843999999999,1673.7095,2418.4744,2709.029,2940.0928,1950.2332,1661.0895,1901.0776,1513.7692,2035.5196,1503.9653999999998,1585.7612,1136.0719,1158.4572,1109.727,1504.8165,1357.268,1699.1332,385.985,,655.2383000000001,1061.8036000000002,681.8795,1113.7725,1311.681,1263.4181,2926.8408
Region24Guizhou,2095.4638,2116.1102,1820.5724,1622.3869,2031.0883999999999,2778.177,3068.7316,3299.7952,1839.3348,1625.1559,1659.954,1492.9435,1595.655,1111.6988999999999,1877.2194,1456.3931,1141.4808,800.8844,854.6854000000001,706.4683,1048.3335,400.0242,655.2382,,475.3388,1067.2192,1508.5505,1706.459,1667.0755,3321.6187999999997
Region25Yunnan,2553.5404,2574.187,2278.6492000000003,2080.4638,2489.1656000000003,3236.254,3526.8084,3757.872,2283.0384,2068.8596000000002,2103.6578,1936.6471999999999,2039.3588,1555.4028,2335.2976,1914.4712,1585.1845,1244.5881000000002,1293.49,723.6933,1254.9358,854.6691,1061.8036000000002,475.3388,,1525.2961,1966.6272,2164.536,2125.1524,3779.6956
Region27Shaanxi,1056.2072,1076.8538999999998,781.3161,583.1306,991.8321,1738.9206000000001,2029.475,2260.5388,1420.4849,1131.3411999999998,1371.3295,984.4724,1677.461,1145.9068,943.2731,493.5837,800.3986,1051.3559,1637.3946,1773.6876000000002,2115.5528,787.8596,681.8795,1067.2192,1525.296,,578.0835,758.8019,608.7979,2373.9076
Region28Gansu,1526.281,1546.9275,1251.6159,1057.2233999999999,1140.687,2208.9944,2499.5488,2730.6124,1998.5664,1709.4228,1949.411,1562.554,2212.084,1680.5296,1477.7198999999998,1028.0304,1335.0215,1629.4375,2215.4762,2215.0184,2556.884,1229.1908,1113.7723999999998,1508.5503999999999,1966.6272,578.0835,,204.0824,607.5948000000001,1813.0682
Region29Qinghai,1724.1896000000002,1744.8362,1449.5245,1255.132,1338.5955,2406.903,2697.4576,2928.5212,2179.2848,1890.1412,2130.1296,1743.2723999999998,2392.8022,1861.2478,1658.4382,1208.7488999999998,1515.7398,1810.1558,2396.1944,2412.9272,2754.7924,1427.0995,1311.681,1706.459,2164.5357999999997,758.8018000000001,204.0824,,805.5034,1632.9392
Region30Ningxia,1184.8842,1222.8328000000001,927.5210999999999,733.1286,699.542,1870.6122,2117.3017999999997,2371.5296000000003,2026.502,1737.3582,1977.3464,1590.4895,2235.9662000000003,1704.412,1236.396,1052.093,1358.9038999999998,1657.373,2243.4118,2373.5438,2715.4092,1387.716,1263.4181999999998,1667.0755,2125.1524,608.7979,607.5949,805.5035,,2148.3118
Region31Xinjiang,2779.1442,2901.0398,2792.333,2597.9404,2293.802,3464.8723999999997,3711.5616,3965.7896,3794.3903999999998,3505.2468,3745.2352,3358.378,4007.7808,3476.2268,3101.208,2823.8682000000003,3130.7187999999996,3425.2616000000003,4011.3,4028.0872000000004,4369.952,3042.259,2926.8408,3321.6187999999997,3779.6956,2373.9076,1813.0682,1632.9392,2148.3118,
