,Region1Beijing,Region2Tianjin,Region3Hebei,Region4Shanxi,Region5Innermongolia,Region6Liaoning,Region7Jilin,Region8Heilongjiang,Region9Shanghai,Region10Jiangsu,Region11Zhejiang,Region12Anhui,Region13Fujian,Region14Jiangxi,Region15Shandong,Region16Henan,Region17Hubei,Region18Hunan,Region19Guangdong,Region20Guangxi,Region21Hainan,Region22Chongqing,Region23Sichuan,Region24Guizhou,Region25Yunnan,Region26Tibet,Region27Shaanxi,Region28Gansu,Region29Qinghai,Region30Ningxia,Region31Xinjiang
Region1Beijing,,123.2856,289.40340000000003,489.1357,473.3829,686.8536,964.4844,1216.5966,1220.3489,994.8235999999999,1246.4523000000002,1010.444,1844.2139,1411.6686000000002,399.65729999999996,693.393,1141.596,1473.173,2123.9495,2306.1655,2595.592,1775.2903000000001,1798.0498,2065.994,2540.664,3535.403,1074.4436,1432.6733000000002,1631.225,1088.0265,2766.634
Region2Tianjin,118.33239999999999,,301.6278,501.3601,589.8963,660.2325999999999,954.9753000000001,1207.0875,1096.6211,889.2573000000001,1122.7245,932.495,1715.3765,1340.2028,308.8569,680.6998000000001,1117.2803999999999,1448.8573999999999,2092.664,2276.3165,2565.743,1798.6383,1810.274,2036.145,2549.2073,3578.378,1086.668,1475.6485,1674.2003,1130.9588,2883.147
Region3Hebei,292.28090000000003,302.09229999999997,,221.03529999999998,561.1423000000001,950.776,1245.5186,1497.6308999999999,1121.1148,881.5374,1150.0088,858.5466,1650.8171,1175.5553,305.7131,416.71259999999995,894.9288,1203.5823,1856.3468,2038.5628000000002,2327.9892999999997,1493.3793999999998,1516.1388,1798.3913,2258.753,3287.8065,792.5327,1185.077,1383.6286,893.8856,2779.9575
Region4Shanxi,489.998,499.8093,221.53279999999998,,410.6472,1148.493,1443.2356000000002,1695.3479,1325.6986000000002,1086.1214,1354.5926000000002,983.4286,1775.699,1272.9083999999998,510.297,434.36659999999995,939.9419,1232.3078,1885.0723,1999.3948,2298.8473,1303.1483,1325.9076,1646.0255,2068.5218999999997,3086.9908,602.3015,984.2610999999999,1182.8128000000002,693.0696999999999,2576.745
Region5Innermongolia,482.7153,602.208,565.9630999999999,412.1075,,1165.788,1358.2425,1587.268,1652.4065,1412.8293,1681.3005,1389.707,2181.9775,1679.1868,839.348,840.6449,1346.2203,1638.5861,2291.3505,2405.673,2705.1255,1672.8893999999998,1682.0165,2015.7665,2424.631,3155.8898,965.7735,1053.1601,1251.7119,654.4203,2297.9283
Region6Liaoning,686.6713000000001,661.9786,950.6181,1150.3505,1155.8255,,286.7572,538.8695,1714.5588,1507.1949,1740.6623,1533.5041,2333.314,1970.6815,932.4996,1332.0653,1768.6459,2100.223,2744.0295,2927.682,3217.1085,2450.0038,2459.2645,2687.5105,3200.5728,4199.463,1735.6583,2096.7335,2295.2853,1752.0868,3449.0765
Region7Jilin,960.2639,956.6373000000001,1245.2768,1445.009,1378.2656000000002,287.5462,,253.9768,2009.2174,1801.8535,2035.3208,1828.1628999999998,2627.9728,2265.3403,1227.1583999999998,1626.7238,2063.3045,2394.8815,3038.688,3222.3405,3511.767,2744.6623,2753.923,2982.169,3495.2313,4494.122,2030.3168999999998,2391.3923,2589.944,1999.4665,3536.1315
Region8Heilongjiang,1211.7373,1208.1106000000002,1496.7503000000002,1696.4825,1589.4563999999998,539.0195,253.668,,2260.6908,2053.3269,2286.7943,2079.6361,2879.446,2516.8135,1478.6318,1878.1973,2314.778,2646.355,3290.1615,3473.814,3763.2405,2996.1358,3005.3965,3233.6425,3746.7048,4745.5955,2281.7905,2642.8655,2841.4175,2239.1992999999998,3724.0065
Region9Shanghai,1192.1559,1074.0611000000001,1104.816,1310.3229,1662.432,1664.6209,1959.3634,2211.4755,,299.2022,179.23870000000002,456.6056,756.2881,694.3858,807.6762,956.4148,768.8724,1033.3115,1409.7295,1841.3335,1983.8498,1617.6438,1900.6903,1767.7231000000002,2280.7855,3874.511,1373.7733,1959.7328,2179.1708,1893.0834,3860.4238
Region10Jiangsu,995.7651,890.4323,880.5933,1086.1001,1436.1069,1507.3788,1802.1215,2054.2338,295.9375,,272.2348,160.3367,836.6985999999999,582.4884000000001,617.3129,672.0324,526.3756,846.5773,1347.6694,1701.3945,1921.7895,1364.7628,1647.8093000000001,1553.9963,2067.0585,3621.63,1074.8299,1685.37,1904.808,1608.701,3586.061
