Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
1,16386.6979050118,11589.512637870672,51316.019873276215,35718.17082592782,50363.42277640201,35673.34609483746,11382.076604388962,14253.038731762554,23066.461321197086,105754.43098954625,72867.18491616585,37048.15752235094,33430.22354778812,22681.542950095485,99775.39624447725,41808.99615951056,29368.62494955925,28298.132810971438,88494.55295440031,32938.028959644544,5045.96763593898,17629.762624159597,47295.837720577096,25181.287116416835,26958.425963413283,1718.6868364702827,34018.57664733918,23266.41190118603,13676.806498760805,20094.439944934187,52078.9018402749
2,14716.311870967707,11595.02763597556,45692.69289581667,34784.83206570084,49735.377642677406,35288.80634710517,11232.066118542387,14316.415729811648,21586.789886174083,104958.28291336942,69219.41688144169,34807.522951460865,31571.22148322732,22315.785321464173,99151.26190819535,42186.769738797746,28133.714566590355,27789.761550722324,84791.78659398085,32260.241296661843,4801.530014083817,17185.056003758127,46387.036451104985,24512.98178606931,26369.540098874226,1689.4704559052295,33684.886762076785,23148.77597015522,13643.146645636854,20069.194092936534,51913.70826135564
3,14628.628692255317,11334.666454390708,45948.326994861025,35592.7263984509,49504.783071855745,35292.32507542394,11191.651664871137,14187.736407129481,19217.978539875137,102114.20155145093,66848.08132970014,34037.229247020136,30402.226479382436,22001.852605369164,98479.75726473038,41055.91695603999,26904.632209175812,27575.7598782927,81126.29979563408,31769.712661414072,4631.211770572271,17120.30427293356,45602.89234784729,24040.028636620566,25479.33481347387,1668.2849296418856,33441.38347446046,23124.43282123562,13583.05880295008,20045.421923137135,51581.8140353221
4,15109.731326156867,11314.007686062,49977.67295975922,35581.519354777345,49670.30367487333,35458.10910559371,11173.558723389337,14171.012871898894,18519.285990261236,100117.87290749478,65525.84461307961,33580.51450248996,29922.660300008145,21573.92756294344,97473.11754876045,40306.15432092928,25194.106796122975,27425.570537653017,79307.81262961232,31556.105244303435,4614.043287804676,17077.835451731793,45223.71190857819,23713.731109402317,24881.086316091216,1654.5160054257922,33282.42034710273,23099.09997693404,13627.01592808804,20008.38171610131,51103.64973810523
5,15523.011931503652,11248.79914290813,50866.24620992019,35588.32060842667,50595.008841763716,35966.53552007313,11321.381628776757,14396.355751892419,18465.683546475095,99232.8339884734,65446.3342360492,33795.20133919068,29863.346941297794,21521.71519660577,99642.20754051949,40306.15432092928,27149.972688527887,27516.628902548568,77498.983557422,31459.7464540525,4696.222336880915,17839.033843850444,45696.762125407,23811.63101296957,25180.700031155633,1656.0437240891547,33300.08562059188,23228.71488654528,13625.4520238324,20026.285060161706,51581.8140353221
6,16257.678464563813,11990.575634697876,53325.49893755433,36086.83058479081,53260.422517637766,37527.75223398463,11573.611884112719,14988.129106291344,18589.007961823485,99583.45541635455,67272.93740398882,35360.04907508383,31005.911028438593,22511.59643862398,102077.27255294357,40680.61909754583,29368.62494955925,27887.95119288259,79307.81262961232,32078.88912613811,4912.629312285341,19394.9851444005,47967.77060951609,23681.095769845408,25777.00840247008,1704.4927702736975,33856.76525741755,23474.35453688941,13705.888837347067,20112.32727990093,51748.013881018014
7,17645.92994919396,13023.803643232723,56745.72710410924,37004.20910291646,56385.70517755628,37614.321557543466,12174.470248613183,16056.402229848421,20011.653823587352,105347.94864509883,73889.79484151184,39066.775283219285,34184.90865940219,25437.17836101783,106557.01409669976,43324.980721601096,31356.1268461776,28169.43462211066,84791.78659398085,33793.002067450674,5192.237307207616,20774.541058304727,49459.752121975514,24170.519407607553,26369.540098874226,1820.132787344608,35158.92911100077,23877.231607155893,13973.24892814263,20274.585723573,52407.80489350424
8,19536.404492668422,14535.60445172833,59472.329261017345,37216.786128503925,55994.302986975315,37950.76728143314,12570.485725815326,16466.634454785708,23340.63727247772,113933.79952331596,86422.67355221183,43022.88516075502,37804.40538256913,28792.558208581795,107273.5832058006,47170.89116910202,34866.84422985722,30066.560446863474,111449.81711166742,35442.93366071437,5697.998702176126,23480.041764576294,46939.88236207329,26207.414346738988,27835.185448910222,1886.346604760836,35888.69876998282,23994.144415337523,13939.071675654517,19894.558318887157,52734.75894887938
9,21241.08207079838,16595.596480457592,63255.63593185293,37293.102972284425,56659.24968292167,38799.396109182126,12597.697233887056,16425.133112296327,27648.57180076248,119064.9361338217,96275.51426105312,44639.27467797137,40629.714930023714,32747.27998110369,108349.4023496216,49515.696614098306,38416.214077393386,32139.798924515333,139691.75693235637,36634.48750931051,6210.7538538518065,24613.170465706728,49960.77149189072,27232.629540444043,31551.602518879725,2054.7090310367066,37696.78864697377,24440.39361500746,13998.474004754864,20166.261914069626,53042.29501407842
10,22449.62515583789,17404.301845695754,64748.746857162885,38400.49949923163,58141.12160805367,39586.82431621301,12751.965614151364,16551.961568446277,32537.127204350116,124553.8788545868,102126.56079060012,45130.437249615024,42430.36464609416,34202.74254567949,108181.26052248842,53884.40350072169,39692.66004839168,32755.99809701995,150125.9314304303,36989.67084211747,6568.124853324729,25858.43917835284,51473.53879477276,30546.528216643794,32391.842448475596,2096.7198587915886,38138.013911843016,24557.19197517989,13944.843153981965,20209.9937595689,53543.843303343856
