Time_Index,natgas_Region1Beijing,natgas_Region2Tianjin,natgas_Region3Hebei,natgas_Region4Shanxi,natgas_Region5Innermongolia,natgas_Region6Liaoning,natgas_Region7Jilin,natgas_Region8Heilongjiang,natgas_Region9Shanghai,natgas_Region10Jiangsu,natgas_Region11Zhejiang,natgas_Region12Anhui,natgas_Region13Fujian,natgas_Region14Jiangxi,natgas_Region15Shandong,natgas_Region16Henan,natgas_Region17Hubei,natgas_Region18Hunan,natgas_Region19Guangdong,natgas_Region20Guangxi,natgas_Region21Hainan,natgas_Region22Chongqing,natgas_Region23Sichuan,natgas_Region24Guizhou,natgas_Region25Yunnan,natgas_Region26Tibet,natgas_Region27Shaanxi,natgas_Region28Gansu,natgas_Region29Qinghai,natgas_Region30Ningxia,natgas_Region31Xinjiang,coal_Region1Beijing,coal_Region2Tianjin,coal_Region3Hebei,coal_Region4Shanxi,coal_Region5Innermongolia,coal_Region6Liaoning,coal_Region7Jilin,coal_Region8Heilongjiang,coal_Region9Shanghai,coal_Region10Jiangsu,coal_Region11Zhejiang,coal_Region12Anhui,coal_Region13Fujian,coal_Region14Jiangxi,coal_Region15Shandong,coal_Region16Henan,coal_Region17Hubei,coal_Region18Hunan,coal_Region19Guangdong,coal_Region20Guangxi,coal_Region21Hainan,coal_Region22Chongqing,coal_Region23Sichuan,coal_Region24Guizhou,coal_Region25Yunnan,coal_Region26Tibet,coal_Region27Shaanxi,coal_Region28Gansu,coal_Region29Qinghai,coal_Region30Ningxia,coal_Region31Xinjiang,uranium_source
1,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
2,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
3,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
4,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
5,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
6,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
7,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
8,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
9,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
10,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
11,70,70,69.244,66.612,45.913,69.244,61.719,61.719,76.776,76.02,76.398,73.388,73.5,68.495,69.244,70.378,68.495,68.495,76.776,70.378,57.204,57.204,57.582,59.836,59.836,140,45.913,49.301,52.311,43.281,38.766,41.728,41.728,37.928,29.352,20.984,44.116,43.86,41.492,45.24,45.632,47.56,48.072,46.428,54.5,46.724,45.392,49.912,52.748,48.324,56.952,43.544,48.02,48.66,39.72,39.22,80,34.524,38.744,20.2,29.644,42.356,2.797922
